customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,churn_label,churn_value,county
6618-RYATB,North Hollywood,91605,34.207295,-118.400022,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.55,Yes,1,Los Angeles County
9079-YEXQJ,Chino,91710,33.990646,-117.663025,Female,No,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,111.1,Yes,1,San Bernardino County
2685-SREOM,Rancho Cucamonga,91730,34.10097,-117.57882,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.1,Yes,1,San Bernardino County
0402-CQAJN,El Monte,91732,34.074492,-118.01462,Female,No,No,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.9,Yes,1,Los Angeles County
6692-UDPJC,South El Monte,91733,34.04622,-118.053753,Female,No,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.65,Yes,1,Los Angeles County
1273-MTETI,Rancho Cucamonga,91737,34.245289,-117.642503,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.85,Yes,1,San Bernardino County
5480-HPRRX,Glendora,91740,34.119363,-117.855059,Female,Yes,No,No,3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.3,Yes,1,Los Angeles County
0295-PPHDO,La Puente,91744,34.031441,-117.936436,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,Yes,1,Los Angeles County
1195-OIYEJ,La Puente,91746,34.038983,-117.991372,Male,No,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.1,Yes,1,Los Angeles County
5906-CVLHP,Rowland Heights,91748,33.976753,-117.897367,Female,No,Yes,No,45,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),54.15,Yes,1,Los Angeles County
4501-EQDRN,Montclair,91763,34.072121,-117.698319,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.7,Yes,1,San Bernardino County
2990-HWIML,Ontario,91764,34.074087,-117.605618,Female,No,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,Yes,1,San Bernardino County
7384-GHBPI,San Dimas,91773,34.102119,-117.815532,Male,No,Yes,No,3,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.15,Yes,1,Los Angeles County
7603-USHJS,San Gabriel,91775,34.114772,-118.089431,Male,No,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,Yes,1,Los Angeles County
7234-FECYN,San Gabriel,91776,34.089927,-118.095645,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.35,Yes,1,Los Angeles County
5876-HZVZM,West Covina,91792,34.024405,-117.898722,Female,No,Yes,Yes,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),55.9,Yes,1,Los Angeles County
1400-MMYXY,Alhambra,91801,34.090925,-118.128164,Male,Yes,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,Yes,1,Los Angeles County
3085-QUOZK,Alpine,91901,32.827184,-116.703729,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.95,Yes,1,San Diego County
3926-CUQZX,Campo,91906,32.673483,-116.472863,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.1,Yes,1,San Diego County
1041-RXHRA,Guatay,91931,32.857946,-116.561917,Female,No,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.25,Yes,1,San Diego County
1750-CSKKM,Imperial Beach,91932,32.579134,-117.119009,Male,No,No,Yes,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.35,Yes,1,San Diego County
7142-HVGBG,Mount Laguna,91948,32.830852,-116.444601,Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.0,Yes,1,San Diego County
8267-ZNYVZ,Spring Valley,91977,32.726627,-116.994608,Female,No,Yes,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,103.75,Yes,1,San Diego County
6457-GIRWB,Carlsbad,92008,33.148116,-117.306043,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,Yes,1,San Diego County
1450-SKCVI,Del Mar,92014,32.948262,-117.256086,Female,No,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,Yes,1,San Diego County
5570-PTWEH,Encinitas,92024,33.054579,-117.25665,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.15,Yes,1,San Diego County
6502-MJQAE,Escondido,92027,33.141265,-116.967221,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,Yes,1,San Diego County
7693-LCKZL,Julian,92036,32.980678,-116.262854,Male,No,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.15,Yes,1,San Diego County
0032-PGELS,Palomar Mountain,92060,33.309852,-116.823091,Female,No,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,Yes,1,San Diego County
6797-LNAQX,Poway,92064,32.984395,-117.013454,Male,No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.3,Yes,1,San Diego County
6394-MFYNG,Solana Beach,92075,33.001813,-117.263628,Female,No,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.4,Yes,1,San Diego County
1564-NTYXF,San Marcos,92078,33.119028,-117.166036,Female,Yes,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.0,Yes,1,San Diego County
8155-IBNHG,San Diego,92103,32.747484,-117.166877,Female,No,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.4,Yes,1,San Diego County
0886-QGENL,San Diego,92104,32.741499,-117.127409,Female,Yes,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,Yes,1,San Diego County
8739-WWKDU,San Diego,92109,32.787836,-117.232376,Male,Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.5,Yes,1,San Diego County
8685-WHQPW,San Diego,92110,32.76501,-117.19938,Female,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.4,Yes,1,San Diego County
4745-LSPLO,San Diego,92111,32.805518,-117.169052,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,Yes,1,San Diego County
8083-YTZES,San Diego,92113,32.697098,-117.116587,Male,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,Yes,1,San Diego County
7240-FQLHE,San Diego,92114,32.707892,-117.05512,Female,Yes,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),99.75,Yes,1,San Diego County
6664-FPDAC,San Diego,92115,32.762506,-117.07245,Female,Yes,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,Yes,1,San Diego County
0786-VSSUD,San Diego,92123,32.808814,-117.134694,Male,Yes,No,No,16,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39.0,Yes,1,San Diego County
3976-BWUCK,San Diego,92130,32.957195,-117.202542,Female,No,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),94.1,Yes,1,San Diego County
3585-ISXZP,Indio,92201,33.713891,-116.237257,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.65,Yes,1,Riverside County
6583-QGCSI,Indian Wells,92210,33.537646,-116.291089,Female,Yes,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.05,Yes,1,Riverside County
4174-LPGTI,Beaumont,92223,33.946982,-116.977672,Female,No,Yes,No,41,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),66.5,Yes,1,Riverside County
2108-XWMPY,Cabazon,92230,33.929812,-116.76058,Male,No,No,No,3,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,35.45,Yes,1,Riverside County
6304-IJFSQ,Calipatria,92233,33.143826,-115.497485,Male,No,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,49.9,Yes,1,Imperial County
0093-XWZFY,Desert Hot Springs,92241,33.832799,-116.250973,Male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,Yes,1,Riverside County
1980-KXVPM,El Centro,92243,32.770393,-115.60915,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.05,Yes,1,Imperial County
7703-ZEKEF,Heber,92249,32.730583,-115.501083,Male,No,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.0,Yes,1,Imperial County
0723-DRCLG,Holtville,92250,32.811001,-115.152865,Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,Yes,1,Imperial County
5482-NUPNA,Imperial,92251,32.858595,-115.662709,Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,Yes,1,Imperial County
1122-JWTJW,Ocotillo,92259,32.698964,-115.886656,Male,No,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.65,Yes,1,Imperial County
1699-HPSBG,Palm Springs,92264,33.745746,-116.514215,Male,No,No,No,12,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,59.8,Yes,1,Riverside County
8775-CEBBJ,Seeley,92273,32.790282,-115.689559,Female,No,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.2,Yes,1,Imperial County
6894-LFHLY,Vidal,92280,34.264124,-114.717964,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,Yes,1,San Bernardino County
0639-TSIQW,White Water,92282,33.972293,-116.654195,Female,No,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.95,Yes,1,Riverside County
8361-LTMKD,Apple Valley,92307,34.55082,-117.122396,Male,Yes,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,Yes,1,San Bernardino County
7590-VHVEG,Los Angeles,90001,33.973616,-118.24902,Female,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,0,Los Angeles County
5575-GNVDE,Los Angeles,90002,33.949255,-118.246978,Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,No,0,Los Angeles County
7795-CFOCW,Los Angeles,90004,34.076259,-118.310715,Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,No,0,Los Angeles County
1452-KIOVK,Los Angeles,90007,34.027337,-118.28515,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,No,0,Los Angeles County
6713-OKOMC,Los Angeles,90008,34.008293,-118.346766,Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,No,0,Los Angeles County
6388-TABGU,Los Angeles,90011,34.00709,-118.258681,Male,No,No,No,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,No,0,Los Angeles County
9763-GRSKD,Los Angeles,90012,34.065875,-118.238728,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,No,0,Los Angeles County
7469-LKBCI,Los Angeles,90013,34.044639,-118.240413,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,No,0,Los Angeles County
8091-TTVAX,Los Angeles,90014,34.043144,-118.251977,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,No,0,Los Angeles County
5129-JLPIS,Los Angeles,90016,34.028331,-118.354338,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,No,0,Los Angeles County
3655-SNQYZ,Los Angeles,90017,34.052842,-118.264495,Female,No,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,No,0,Los Angeles County
8191-XWSZG,Los Angeles,90018,34.028735,-118.317236,Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,No,0,Los Angeles County
9959-WOFKT,Los Angeles,90019,34.049841,-118.33846,Male,No,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,No,0,Los Angeles County
4183-MYFRB,Los Angeles,90021,34.029043,-118.239504,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,No,0,Los Angeles County
1680-VDCWW,Los Angeles,90023,34.017697,-118.200577,Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,No,0,Los Angeles County
3638-WEABW,Los Angeles,90025,34.046174,-118.446333,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,No,0,Los Angeles County
6322-HRPFA,Los Angeles,90026,34.078991,-118.263804,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,No,0,Los Angeles County
6865-JZNKO,Los Angeles,90027,34.127194,-118.295647,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,No,0,Los Angeles County
5248-YGIJN,Los Angeles,90031,34.085807,-118.206617,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,No,0,Los Angeles County
3841-NFECX,Los Angeles,90033,34.050198,-118.210946,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,No,0,Los Angeles County
4929-XIHVW,Los Angeles,90034,34.030578,-118.399613,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,No,0,Los Angeles County
6827-IEAUQ,Los Angeles,90035,34.051809,-118.383843,Female,No,Yes,No,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,No,0,Los Angeles County
7310-EGVHZ,Los Angeles,90036,34.070291,-118.349191,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,0,Los Angeles County
3413-BMNZE,Los Angeles,90037,34.002642,-118.287596,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No,0,Los Angeles County
6234-RAAPL,Los Angeles,90038,34.088017,-118.327168,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,No,0,Los Angeles County
6572-ADKRS,Los Angeles,90040,33.994524,-118.149953,Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,No,0,Los Angeles County
8865-TNMNX,Los Angeles,90043,33.988543,-118.334081,Male,No,Yes,No,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,No,0,Los Angeles County
9489-DEDVP,Los Angeles,90044,33.952714,-118.292061,Female,No,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,No,0,Los Angeles County
9867-JCZSP,Los Angeles,90045,33.954017,-118.402447,Female,No,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,No,0,Los Angeles County
4671-VJLCL,Los Angeles,90046,34.108455,-118.362081,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,No,0,Los Angeles County
4080-IIARD,Los Angeles,90047,33.958149,-118.308441,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,No,0,Los Angeles County
3714-NTNFO,Los Angeles,90048,34.072945,-118.37267,Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,No,0,Los Angeles County
5948-UJZLF,Los Angeles,90049,34.091829,-118.491244,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,No,0,Los Angeles County
7639-LIAYI,Los Angeles,90057,34.061918,-118.277939,Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,No,0,Los Angeles County
2954-PIBKO,Los Angeles,90058,34.001617,-118.222274,Female,No,Yes,No,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,No,0,Los Angeles County
8012-SOUDQ,Los Angeles,90059,33.927254,-118.249826,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,No,0,Los Angeles County
6575-SUVOI,Los Angeles,90062,34.003553,-118.308933,Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,No,0,Los Angeles County
4667-QONEA,Los Angeles,90064,34.037251,-118.423573,Female,Yes,Yes,No,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,No,0,Los Angeles County
8769-KKTPH,Los Angeles,90066,34.002028,-118.430656,Female,No,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,No,0,Los Angeles County
5067-XJQFU,Los Angeles,90067,34.057496,-118.413959,Male,Yes,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,No,0,Los Angeles County
3957-SQXML,Los Angeles,90068,34.137411,-118.328915,Female,No,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,No,0,Los Angeles County
5954-BDFSG,West Hollywood,90069,34.093781,-118.381061,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,No,0,Los Angeles County
0434-CSFON,Los Angeles,90071,34.052917,-118.255178,Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,No,0,Los Angeles County
1215-FIGMP,Los Angeles,90077,34.102084,-118.451629,Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,No,0,Los Angeles County
0526-SXDJP,Bell,90201,33.970343,-118.171368,Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,No,0,Los Angeles County
0557-ASKVU,Beverly Hills,90210,34.099891,-118.414338,Female,No,Yes,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,No,0,Los Angeles County
5122-CYFXA,Beverly Hills,90212,34.062095,-118.401508,Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,No,0,Los Angeles County
8627-ZYGSZ,Compton,90220,33.88151,-118.234451,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,No,0,Los Angeles County
3410-YOQBQ,Compton,90221,33.885811,-118.206459,Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,No,0,Los Angeles County
3170-NMYVV,Compton,90222,33.912246,-118.236773,Female,No,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,No,0,Los Angeles County
7410-OIEDU,Culver City,90230,33.993991,-118.39704,Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,No,0,Los Angeles County
2273-QCKXA,Culver City,90232,34.019323,-118.391902,Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No,0,Los Angeles County
0731-EBJQB,Downey,90240,33.956228,-118.120993,Female,No,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,No,0,Los Angeles County
1891-QRQSA,Downey,90241,33.940884,-118.128628,Male,Yes,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,No,0,Los Angeles County
8028-PNXHQ,Downey,90242,33.921793,-118.140588,Male,No,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,No,0,Los Angeles County
5630-AHZIL,El Segundo,90245,33.917145,-118.401554,Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,No,0,Los Angeles County
2673-CXQEU,Gardena,90247,33.890853,-118.297967,Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,No,0,Los Angeles County
6416-JNVRK,Gardena,90248,33.876482,-118.284077,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,No,0,Los Angeles County
5590-ZSKRV,Gardena,90249,33.90139,-118.315697,Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,No,0,Los Angeles County
0191-ZHSKZ,Hawthorne,90250,33.914775,-118.348083,Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,No,0,Los Angeles County
3887-PBQAO,Hermosa Beach,90254,33.86532,-118.396336,Female,No,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,No,0,Los Angeles County
8108-UXRQN,Lawndale,90260,33.88856,-118.351813,Female,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,No,0,Los Angeles County
9919-YLNNG,Malibu,90263,34.037037,-118.705803,Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,No,0,Los Angeles County
0318-ZOPWS,Malibu,90265,34.074572,-118.831181,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,No,0,Los Angeles County
4445-ZJNMU,Manhattan Beach,90266,33.889632,-118.39737,Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,No,0,Los Angeles County
4808-YNLEU,Maywood,90270,33.988572,-118.186565,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,No,0,Los Angeles County
1862-QRWPE,Pacific Palisades,90272,34.079449,-118.548306,Female,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,No,0,Los Angeles County
2796-NNUFI,Palos Verdes Peninsula,90274,33.788208,-118.404955,Female,No,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,No,0,Los Angeles County
3016-KSVCP,Rancho Palos Verdes,90275,33.753146,-118.367459,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,No,0,Los Angeles County
4767-HZZHQ,Redondo Beach,90277,33.830453,-118.384565,Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,No,0,Los Angeles County
2424-WVHPL,Redondo Beach,90278,33.873395,-118.37019,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No,0,Los Angeles County
7233-PAHHL,South Gate,90280,33.944624,-118.192615,Male,No,Yes,No,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,No,0,Los Angeles County
6067-NGCEU,Topanga,90290,34.115192,-118.61017,Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,No,0,Los Angeles County
